"","SN","subjectkey","ads_printed","ads_vehicle","ads_socialmedia","ads_internet","ads_television","ads_publicplace","ads_email","ads_SMS","ads_newsarticle","ads_scratch","ads_onlinegamble","ads_promotion","ads_freegames","ads_bonuses","ads_playerbenefit","freq_Lotto","freq_OthLotA","freq_OthLotB","freq_Scratch","freq_VSbet","freq_VHorse","freq_Casino","freq_Slots","freq_Table","freq_PVei","freq_OVei","freq_FHorse","freq_Private","freq_Cruise","freq_PPaf","freq_OPaf","freq_PFor","freq_OFor","freq_Other","r_excitement_fun","r_win_money","r_escape_distract","r_socialize","r_worthy_causes","r_feel_good","r_other_reason","r_cannot_say","felt_gamble_a_problem","felt_gamble_a_problem_frq","k_effect_of_chance","k_probability_of_winning","k_warning_signs_PG","k_means_for_controlling","k_health_financial_effects_PG","k_support_when_lost_control","k_addictive_game_type","a_Overview_account_activity","a_Setting_a_spending_limit","a_Providing_information_pg","a_Tests_recognising_pg","a_Electronic_authentication","a_Restrictions_time_Ofday","a_Self_imposed_limitation","a_Self_imposed_ban","a_Shut_internet_account","a_Conditional_self_exclusion","a_Unconditional_self_exclusion","a_Gambling_diary","a_Not_credit_card","a_Advice_croupier","a_Prevention_croupier","a_Info_after_restriction","u_Overview_account_activity","u_Setting_a_spending_limit","u_Providing_information_pg","u_Tests_recognising_pg","u_Electronic_authentication","u_Restrictions_time_Ofday","u_Self_imposed_limitation","u_Self_imposed_ban","u_Shut_internet_account","u_Conditional_self_exclusion","u_Unconditional_self_exclusion","u_Gambling_diary","u_Not_credit_card","u_Advice_croupier","u_Prevention_croupier","u_Info_after_restriction","spent_per_w","spent_per_m","spent_the_y","socioEnv_alone","socioEnv_acquaintances","socioEnv_strangers","PPGM_1a","PPGM_1b","PPGM_2","PPGM_3a","PPGM_3b","PPGM_4","PPGM_5a","PPGM_5b","PPGM_6","PPGM_7","PPGM_8","PPGM_9","PPGM_10a","PPGM_10b","PPGM_11","PPGM_12","PPGM_13","PPGM_14","hf_reduction_Available_money","hf_reduction_Saving","hf_reduction_recreation_expenses","hf_Increased_credit_card_debt","hf_Sold_personal_items","hf_reduction_essential_expenses","hf_reduction_beneficial_expenses","hf_late_bill_payments","hf_additional_employment","hf_need_welfare_organizations","hf_need_temporary_accommodation","hf_Loss_assets","hf_Loss_utility_supply","hf_Bankruptcy","hw_Reduced_performance","hw_Was_late","hw_Used_job_time_gamble","hw_Used_job_resources_gamble","hw_Was_absent","hw_Conflict_colleagues","hw_Lack_progression","hw_Excluded_from_study","hw_Hindered_job_seeking","hw_Lost_job","hh_Reduced_physical_activity","hh_eat_less","hh_eat_much","hh_less_time_for_sleep","hh_Neglected_hygiene_self_care","hh_Neglected_medical_needs","hh_Increased_tobacco","hh_Increased_alcohol","hh_loss_sleep_stress","hh_Increased_depression","hh_Unhygienic_living","hh_Increased_health_services","hh_Required_emergency_treatment","hh_self_harm","hh_Attempted_suicide","hh_Stress_related_health_problems","he_distressed","he_ashamed","he_regrets","he_Felt_like_a_failure","he_insecure","he_worthless","he_hopeless","he_angry","he_extreme_distress","he_thoughts_escape","hr_less_close_time","hr_Neglected_responsibilities","hr_Felt_belittled","hr_less_social_time","hr_greater_relation_tension","hr_less_enjoyment_SigOther","hr_greater_relation_conflict","hr_Social_isolation","hr_Threat_separation","hr_Actual_separation","ho_children_unsupervised","ho_Arrested_unsafe_driving","ho_shamed_family_name","ho_violence","ho_Petty_theft_dishonesty","ho_children_neglected","ho_less_connected_community","ho_outcast_community","ho_Reduced_contribution_community","ho_crime","ho_fake_promise_payback","ho_steal_ownhome","other_gamble_toomuch","other_gamble_spouse","other_gamble_child","other_gamble_friend","affectme_emoStrain","affectme_health","affectme_relatMarrige","affectme_relatFriendship","affectme_loseHome","affectme_debt","affectme_kids","affectme_ClosePersons","affectme_emoAbuse","affectme_physiViolence","affectme_victimOfCrime","affectme_workStudy","affectme_otherWays","affectme_noAffect","demog_education","demog_income","demog_employment","demog_gender","demog_age_group","DatasetC"
"1",3261,1,9,9,2,2,9,9,2,1,3,4,3,1,2,9,1,4,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,0,0,0,0,0,0,1,1,3,3,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4," "," ","100",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,1,3,"Finnish Gambling Harms Survey 2016"
"2",3261,2,3,1,1,1,4,2,1,3,3,4,2,1,1,1,1,3,7,2,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"15"," "," ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,2,5,"Finnish Gambling Harms Survey 2016"
"3",3261,3,3,3,3,3,4,3,2,2,4,4,2,2,3,1,1,3,7,6,6,7,7,7,7,7,7,7,7,7,6,7,6,7,7,7,1,0,0,0,0,0,1,0,1,NA,3,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," "," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,NA,1,3,"Finnish Gambling Harms Survey 2016"
"4",3261,4,2,1,2,2,3,2,2,1,2,3,3,1,1,1,1,4,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,0,0,0,0,0,0,1,1,4,4,4,4,4,3,3,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"1","10","40",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,2,2,"Finnish Gambling Harms Survey 2016"
"5",3261,5,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,9,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,2,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ","100"," ",3,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,1,6,"Finnish Gambling Harms Survey 2016"
"6",3261,6,3,2,3,2,4,2,1,1,3,3,3,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,0,0,1,0,0,0,1,1,5,1,9,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4," "," "," ",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,1,6,"Finnish Gambling Harms Survey 2016"
"7",3261,7,2,3,2,2,3,3,1,1,3,2,2,1,1,1,1,4,7,5,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,1,1,0,0,0,1,0,0,1,1,4,4,2,2,3,2,3,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4," ","5"," ",1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,3,"Finnish Gambling Harms Survey 2016"
"8",3261,8,3,1,1,2,4,2,2,1,2,3,2,1,1,1,1,4,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4," "," ","100",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,2,5,"Finnish Gambling Harms Survey 2016"
"9",3261,9,1,2,1,1,3,3,1,1,3,3,2,1,1,1,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,1,0,1,0,1,0,0,1,1,1,1,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4," "," ","100",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,5,"Finnish Gambling Harms Survey 2016"
"10",3261,10,2,2,1,2,1,2,1,1,2,2,1,1,1,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," "," "," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,7,2,6,"Finnish Gambling Harms Survey 2016"
