"","subjectkey","freq_Lotto","freq_OthLotA","freq_OthLotB","freq_Scratch","freq_VSbet","freq_VHorse","freq_Casino","freq_Slots","freq_Table","freq_PVei","freq_OVei","freq_FHorse","freq_Private","freq_Cruise","freq_PPaf","freq_OPaf","freq_PFor","freq_OFor","freq_Other","diverity","diverity_No_lottery"
"1","1",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"2","2",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"3","3",1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,4
"4","4",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"5","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","7",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2
"7","8",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"8","9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"9","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","11",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"11","12",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"12","13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","14",1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,7,6
"14","15",1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,8,7
"15","16",1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,10,9
"16","17",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"17","19",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"18","20",1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7,6
"19","21",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"20","22",1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,3
"21","23",1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,8,7
"22","24",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
"23","25",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"24","26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","27",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3
"26","28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"27","29",1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4
"28","31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","32",1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,11,10
"30","34",1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6
"31","35",1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,8,7
"32","36",1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5
"33","37",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3
"34","38",1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,3
"35","39",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"36","40",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"37","41",1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,6,5
"38","42",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"39","43",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2
"40","44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","46",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
"43","47",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"44","48",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"45","49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","50",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
"47","51",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"48","52",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"49","53",1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,5
"50","54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","56",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,16,15
"52","57",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3
"53","59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","60",1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,4
"55","61",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"56","62",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"57","63",1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,8,7
"58","64",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"59","65",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
"60","66",1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,8,7
"61","67",1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3
