"","subjectkey","annual_expenses"
"1",1,100
"2",2,780
"3",4,40
"4",5,1200
"5",7,60
"6",8,100
"7",9,100
"8",11,40
"9",12,208
"10",14,780
"11",15,120
"12",16,1800
"13",17,250
"14",19,100
"15",20,180
"16",21,50
"17",22,150
"18",23,500
"19",24,520
"20",25,40
"21",27,180
"22",28,30
"23",29,240
"24",32,1200
"25",34,2000
"26",35,960
"27",36,4800
"28",37,100
"29",38,55
"30",39,30
"31",40,2
"32",41,450
"33",42,60
"34",43,364
"35",46,100
"36",47,312
"37",48,240
"38",50,240
"39",51,50
"40",52,50
"41",53,20
"42",55,30
"43",56,500
"44",57,364
"45",58,1000
"46",60,1000
"47",61,120
"48",62,156
"49",63,500
"50",64,20
"51",65,10
"52",66,200
"53",67,120
"54",68,10
"55",69,360
"56",72,120
"57",73,600
"58",75,200
"59",76,360
"60",77,104
"61",79,15
"62",80,208
"63",81,100
"64",82,100
"65",83,20
"66",84,50
"67",85,155
"68",87,50
"69",89,600
"70",90,150
"71",93,25
"72",94,100
"73",95,60
"74",96,780
"75",97,100
"76",100,500
"77",101,156
"78",102,120
"79",103,120
"80",105,4
"81",106,50
"82",107,108
"83",108,1000
"84",109,260
"85",110,50
"86",111,50
"87",113,25
"88",115,250
"89",117,2100
"90",118,108
"91",119,50
"92",121,5
"93",122,250
"94",123,20
"95",124,600
"96",125,500
"97",126,10
"98",128,520
"99",129,364
"100",130,2600
"101",131,624
"102",132,1040
"103",133,50
"104",134,10
"105",135,208
"106",136,780
"107",137,30
"108",139,120
"109",140,25
"110",142,12
"111",143,140
"112",144,500
"113",145,150
"114",146,5200
"115",148,156
"116",149,400
"117",150,70
"118",151,550
"119",152,624
"120",153,120
"121",154,10
"122",157,100
"123",158,96
"124",160,2080
"125",161,5
"126",162,150
"127",163,20
"128",164,240
"129",166,1820
"130",168,50
"131",171,10
"132",173,160
"133",174,5
"134",175,40
"135",176,20
"136",177,120
"137",178,100
"138",179,156
"139",181,5
"140",182,20
"141",183,240
"142",184,3000
"143",185,6
"144",186,600
"145",187,50
"146",188,100
"147",191,40
"148",192,1820
"149",193,200
"150",194,1700
"151",195,60
"152",196,312
"153",197,10
"154",198,300
"155",199,1248
"156",200,5
"157",202,780
"158",203,300
"159",204,10
"160",207,5
"161",208,900
"162",209,20
"163",210,780
"164",211,80
"165",212,96
"166",213,200
"167",214,200
"168",215,10
"169",216,30
"170",217,10
"171",218,50
"172",219,50
"173",220,84
"174",221,10
"175",222,15
"176",224,260
"177",225,360
"178",227,60
"179",228,70
"180",229,1000
"181",230,100
"182",231,10
"183",232,100
"184",233,10
"185",234,60
"186",236,120
"187",237,15
"188",239,60
"189",240,100
"190",241,30
"191",242,1000
"192",243,3000
"193",244,1500
"194",246,1200
"195",247,480
"196",248,70
"197",249,5
"198",250,180
"199",251,1
"200",252,30
"201",253,2
"202",255,120
"203",256,1200
"204",258,52
"205",259,120
"206",260,100
"207",261,20
"208",262,10
"209",263,240
"210",264,30
"211",266,20
"212",267,600
"213",268,4
"214",270,70
"215",272,60
"216",273,800
"217",275,75
"218",276,40
"219",279,50
"220",282,360
"221",283,624
"222",284,6
"223",285,100
"224",286,40
"225",287,10
"226",288,120
"227",289,10
"228",291,240
"229",292,780
"230",293,24
"231",295,600
"232",296,200
"233",298,500
"234",299,170
"235",300,5
"236",302,10
"237",305,500
"238",306,3120
"239",307,100
"240",308,240
"241",309,100
"242",310,780
"243",311,30
"244",312,260
"245",314,20
"246",315,30
"247",316,70
"248",317,500
"249",318,10
"250",319,104
"251",321,240
"252",322,20
"253",323,5
"254",324,100
"255",326,120
"256",327,500
"257",329,50
"258",330,200
"259",331,780
"260",332,15
"261",335,60
"262",336,10
"263",339,780
"264",340,80
"265",341,300
"266",342,250
"267",343,100
"268",346,1
"269",347,30
"270",348,960
"271",349,30
"272",350,50
"273",351,480
"274",352,50
"275",353,50
"276",355,3
"277",358,2600
"278",359,50
"279",361,5
"280",363,30
"281",364,240
"282",365,360
"283",366,6
"284",367,500
"285",368,2080
"286",369,30
"287",370,600
"288",371,100
"289",372,3
"290",373,300
"291",374,120
"292",376,104
"293",377,120
"294",379,20
"295",380,60
"296",381,520
"297",382,480
"298",383,96
"299",385,80
"300",386,20
"301",387,4
"302",392,200
"303",393,728
"304",394,260
"305",395,40
"306",398,15
"307",399,10
"308",402,20
"309",403,520
"310",404,50
"311",405,3500
"312",406,100
"313",409,624
"314",411,520
"315",412,120
"316",413,2080
"317",415,60
"318",416,520
"319",420,100
"320",421,50
"321",422,200
"322",423,20
"323",424,520
"324",425,120
"325",427,30
"326",428,40
"327",429,100
"328",430,7
"329",431,30
"330",432,300
"331",433,5
"332",434,200
"333",435,25
"334",436,5
"335",437,260
"336",438,120
"337",440,1456
"338",441,500
"339",443,50
"340",444,10
"341",445,5
"342",446,100
"343",448,520
"344",449,240
"345",450,200
"346",451,120
"347",452,500
"348",453,800
"349",454,52
"350",455,5337.30568095586
"351",456,10
"352",458,50
"353",459,312
"354",460,10
"355",461,250
"356",463,780
"357",464,104
"358",465,48
"359",466,50
"360",467,120
"361",468,156
"362",469,250
"363",470,100
"364",471,1800
"365",472,3600
"366",474,150
"367",475,20
"368",476,40
"369",477,15
"370",478,5
"371",479,100
"372",480,60
"373",482,20
"374",483,10
"375",484,50
"376",489,10
"377",490,15
"378",491,6
"379",494,78
"380",495,350
"381",496,312
"382",497,300
"383",501,4
"384",503,24
"385",505,50
"386",506,60
"387",507,30
"388",508,40
"389",509,200
"390",510,300
"391",511,10
"392",512,350
"393",516,100
"394",517,192
"395",518,50
"396",519,6
"397",520,10
"398",521,1040
"399",523,300
"400",524,10
"401",525,120
"402",526,1300
"403",527,10
"404",528,10
"405",529,100
"406",530,30
"407",531,1800
"408",533,260
"409",534,48
"410",535,5
"411",538,20
"412",540,150
"413",541,70
"414",542,360
"415",543,96
"416",544,150
"417",546,600
"418",547,125
"419",548,260
"420",549,10
"421",550,10
"422",552,1000
"423",553,10
"424",554,10
"425",555,40
"426",556,1040
"427",557,10
"428",558,10
"429",559,20
"430",560,25
"431",561,520
"432",562,200
"433",565,50
"434",566,36
"435",569,1560
"436",572,20
"437",573,520
"438",574,260
"439",575,416
"440",576,4680
"441",577,12
"442",578,144
"443",579,5
"444",580,600
"445",581,450
"446",583,1560
"447",584,520
"448",585,1300
"449",586,1300
"450",587,1
"451",588,360
"452",589,50
"453",590,520
"454",591,30
"455",592,192
"456",596,350
"457",597,600
"458",598,100
"459",602,10
"460",604,300
"461",605,1456
"462",606,100
"463",607,100
"464",608,4
"465",610,1200
"466",611,520
"467",613,250
"468",614,150
"469",616,200
"470",617,10
"471",618,80
"472",619,10
"473",620,156
"474",623,15
"475",624,200
"476",625,104
"477",626,150
"478",627,400
"479",628,104
"480",629,1200
"481",630,3360
"482",634,50
"483",637,20
"484",638,30
"485",640,50
"486",641,200
"487",643,30
"488",644,50
"489",645,500
"490",648,300
"491",649,100
"492",650,2000
"493",651,360
"494",654,35
"495",655,400
"496",656,2600
"497",658,140
"498",659,3120
"499",660,1000
"500",661,520
"501",662,70
"502",663,30
"503",664,20
"504",667,520
"505",668,48
"506",669,10
"507",670,5
"508",671,50
"509",672,180
"510",673,500
"511",675,200
"512",676,20
"513",678,15
"514",679,50
"515",680,300
"516",681,5
"517",683,200
"518",684,728
"519",685,50
"520",686,2600
"521",687,20
"522",688,20
"523",689,500
"524",691,200
"525",692,480
"526",693,50
"527",694,240
"528",695,10
"529",696,480
"530",697,150
"531",698,50
"532",699,104
"533",700,20
"534",701,10
"535",702,200
"536",704,60
"537",705,208
"538",707,10
"539",708,300
"540",714,500
"541",715,832
"542",716,50
"543",718,2340
"544",720,50
"545",721,25
"546",722,240
"547",723,10
"548",725,50
"549",726,250
"550",727,120
"551",728,700
"552",729,288
"553",730,100
"554",731,600
"555",732,300
"556",733,240
"557",734,120
"558",736,5
"559",737,7
"560",738,200
"561",739,10
"562",740,72
"563",742,200
"564",743,60
"565",744,780
"566",745,10
"567",746,240
"568",747,520
"569",748,100
"570",749,600
"571",750,40
"572",751,120
"573",752,208
"574",753,40
"575",754,2500
"576",756,5
"577",758,336
"578",759,1000
"579",760,3640
"580",761,500
"581",762,50
"582",765,500
"583",767,1200
"584",769,300
"585",770,208
"586",773,5337.30568095586
"587",774,40
"588",775,5
"589",776,240
"590",777,5
"591",778,120
"592",779,15
"593",780,20
"594",781,260
"595",784,10
"596",785,50
"597",786,2184
"598",787,300
"599",788,150
"600",790,104
"601",791,1000
"602",792,60
"603",793,208
"604",794,10
"605",797,100
"606",798,100
"607",800,20
"608",801,360
"609",803,96
"610",804,5
"611",805,260
"612",807,100
"613",809,20
"614",811,40
"615",812,300
"616",814,1040
"617",815,10
"618",817,150
"619",819,10
"620",822,520
"621",824,40
"622",825,150
"623",826,200
"624",828,5
"625",830,120
"626",831,30
"627",832,208
"628",833,52
"629",836,1560
"630",837,1040
"631",839,1200
"632",840,30
"633",841,900
"634",842,20
"635",843,780
"636",844,840
"637",845,40
"638",846,240
"639",847,2100
"640",848,150
"641",850,780
"642",851,1500
"643",853,80
"644",857,15
"645",858,50
"646",859,150
"647",862,20
"648",863,15
"649",865,480
"650",866,100
"651",867,600
"652",868,30
"653",869,364
"654",870,100
"655",872,240
"656",873,20
"657",874,300
"658",875,30
"659",876,240
"660",877,832
"661",878,30
"662",879,2000
"663",880,180
"664",881,250
"665",882,200
"666",883,156
"667",884,400
"668",885,30
"669",887,240
"670",889,240
"671",892,1040
"672",893,20
"673",894,10
"674",895,84
"675",896,40
"676",897,10
"677",898,200
"678",899,360
"679",900,200
"680",901,104
"681",902,208
"682",903,100
"683",905,52
"684",906,10
"685",907,20
"686",908,104
"687",909,86
"688",910,250
"689",911,416
"690",912,60
"691",915,52
"692",916,520
"693",917,520
"694",919,30
"695",920,50
"696",921,330
"697",923,5
"698",924,416
"699",927,624
"700",928,20
"701",929,104
"702",930,1508
"703",931,600
"704",932,48
"705",933,416
"706",934,12
"707",935,1560
"708",936,1248
"709",937,500
"710",939,120
"711",940,52
"712",944,120
"713",945,15
"714",946,104
"715",947,1200
"716",948,840
"717",949,8
"718",950,100
"719",951,20
"720",952,80
"721",953,35
"722",955,30
"723",956,60
"724",957,14
"725",958,10
"726",959,100
"727",960,1560
"728",962,15
"729",963,25
"730",964,360
"731",965,520
"732",966,30
"733",968,500
"734",970,550
"735",971,100
"736",972,104
"737",973,30
"738",974,50
"739",975,156
"740",976,80
"741",977,5
"742",978,307
"743",979,50
"744",980,2
"745",981,180
"746",982,20
"747",983,250
"748",984,50
"749",985,200
"750",986,100
"751",987,156
"752",988,6
"753",989,2
"754",990,120
"755",993,20
"756",997,15
"757",999,10
"758",1001,100
"759",1002,50
"760",1003,364
"761",1005,75
"762",1006,2
"763",1008,52
"764",1009,240
"765",1010,30
"766",1012,40
"767",1016,50
"768",1017,50
"769",1019,5
"770",1020,200
"771",1021,420
