"","chisq","df","tli.scaled","rmsea.scaled","cfi.scaled","srmr"
"Bifactor",182.385068672463,49,0.972288230772176,0.0290890834732687,0.985078278108095,0.0949779898437235
"Bifactor",129.008775946409,49,0.983377564240927,0.0225291726202482,0.991049457668192,0.0827861873418484
"Bifactor",150.560487325602,49,0.979709721703271,0.0248909752460418,0.989074465532531,0.073144776760469
"Bifactor",133.005288434298,49,0.997851446147836,0.00809973915009693,0.998843086387296,0.0844893958477113
"Bifactor",181.713420688538,49,0.972427770783049,0.0290157533713687,0.985153415037026,0.0898507796783155
"Bifactor",123.73845337641,49,0.994983415316331,0.0123766179474865,0.997298762093409,0.0887457560345653
"Bifactor",182.459553341596,49,0.972272756011901,0.0290972042786329,0.98506994554487,0.0896539570228809
"Bifactor",121.239182933849,49,0.984991756674166,0.0214073466734346,0.991918638209166,0.0761594454637347
"Bifactor",203.960391605863,49,0.967805792249658,0.03135355442456,0.982664657365201,0.0997522826661479
"Bifactor",101.752655567932,49,0.989040231925485,0.0182935753257754,0.994098586421415,0.0728081584304441
"Bifactor",98.1025741974954,49,0.988071015861889,0.019085328591423,0.99357670084871,0.0784222905588872
"Bifactor",175.991861716776,49,0.973616468464333,0.0283833971841047,0.985793483019256,0.0945497966064509
"Bifactor",161.330472224333,49,0.976662484380639,0.0266947108981478,0.987433645435729,0.0847357725714027
"Bifactor",187.892842680238,49,0.971143948553922,0.0296835857960867,0.98446212614442,0.0936158713590986
"Bifactor",148.64055020409,49,0.979298912835817,0.0251416912069457,0.988853260757748,0.0892719433798114
"Bifactor",191.78046163649,49,0.970336265951712,0.0300961415232774,0.984027220127845,0.0941039446134409
"Bifactor",118.558766675929,49,0.985548633673318,0.0210064355553031,0.992218495054864,0.0695875381066914
"Bifactor",194.587452728757,49,0.969753092061653,0.0303905390397006,0.983713203417813,0.0997081598588366
"Bifactor",133.023763814405,49,0.982543419772151,0.0230875312022033,0.990600302954235,0.0881748807722203
"Bifactor",184.753359276423,49,0.971796200267304,0.0293461898047157,0.984813338605471,0.095646987053562
"Bifactor",127.59341553371,49,0.983671616202824,0.0223290121984835,0.991207793339982,0.0814666770539535
"Bifactor",129.689455072779,49,0.983236147941068,0.0226248037508949,0.990973310429806,0.0865885803498256
"Bifactor",121.936997125732,49,0.981613467517507,0.0236945152229942,0.990099559432504,0.0693466291650577
"Bifactor",209.452980603232,49,0.966664664833574,0.0319043810790108,0.982050204141155,0.10138944768718
"Bifactor",144.589373311261,49,0.986319548754508,0.0204384577863242,0.992633603175505,0.0768499041080132
"Bifactor",127.182726196633,49,0.983756940056886,0.0222705957371578,0.991253736953708,0.0906235683541465
"Bifactor",175.280541923338,49,0.973764250597364,0.0283037935641516,0.985873058013966,0.0934113260307344
"Bifactor",190.02136158144,49,0.976302375459886,0.0268998784867778,0.987239740632247,0.094823031344106
"Bifactor",184.681333145783,49,0.994525470172984,0.0129291901943461,0.997052176246992,0.0921723154972373
"Bifactor",149.612018707624,49,0.979097082816536,0.025263956272758,0.988744583055058,0.0796078641405404
"Bifactor",198.44032302437,49,0.979757824302154,0.0248614529533613,0.989100366931929,0.0974717498794585
"Bifactor",201.770200623898,49,0.968260821194511,0.0311311922913384,0.98290967295089,0.0987066678249237
"Bifactor",121.47995383798,49,0.984941734675464,0.0214429920004946,0.991891703286788,0.0915584907715683
"Bifactor",113.895940933814,49,0.986517371420362,0.0202901471365182,0.992740123072502,0.0816984775740079
"Bifactor",172.007247452091,49,0.974444302584477,0.027934556434882,0.98623923985318,0.0831123247661304
"Bifactor",124.836353193635,49,0.984244417012355,0.0219338641763435,0.991516224545114,0.0661938870085748
"Bifactor",153.642830453922,49,0.978259650815894,0.0257650606230845,0.988293658131635,0.0919956644100382
"Bifactor",125.626593998761,49,0.984080238434917,0.0220478472033264,0.991427820695725,0.078610949764509
"Bifactor",184.280564562309,49,0.97189442698893,0.029295042543549,0.984866229917116,0.09457632739382
"Bifactor",151.41319458848,49,0.978722874737282,0.0254890932545745,0.988543086396998,0.0919676159308647
"Bifactor",152.077033953879,49,0.982295476800641,0.0232509139390157,0.990466795200345,0.0941306681504724
"Bifactor",133.006717445267,49,0.997851397955957,0.00809982998781594,0.998843060437823,0.0845359691215253
"Bifactor",181.384954393014,49,0.972496012170719,0.0289798240681736,0.985190160399618,0.0845853135433255
"Bifactor",183.834011693399,49,0.971987201766305,0.0292466520052154,0.984916185566472,0.0933219350483003
"Bifactor",170.353437674352,49,0.9892446200211,0.0181221946218074,0.994208641549823,0.0930593415499792
"Bifactor",184.308393444409,49,0.971888645325613,0.0292980555645449,0.984863116713792,0.0858298952579557
"Bifactor",144.506510753401,49,0.98015779118237,0.0246146077235374,0.989315733713584,0.0861767745210546
"Bifactor",179.7751146326,49,0.988414429575534,0.0188086065527507,0.993761615925288,0.0943349593802025
"Bifactor",179.615321533105,49,0.972863666945874,0.0287854810417637,0.985388128355471,0.0941723057753105
"Bifactor",134.25913353722,49,0.997933129629255,0.00794427978284215,0.998887069800368,0.08329289970192
"Bifactor",110.419494407368,49,0.99937669999156,0.0043626108728836,0.999664376918532,0.0888257308051956
"Bifactor",183.644520675557,49,0.972026569976027,0.0292260936672919,0.984937383833245,0.0949572265709116
"Bifactor",140.902417963617,49,0.997725553614992,0.00833365971119141,0.99877529810038,0.0919606824885339
"Bifactor",186.70287382892,49,0.994227570364116,0.013276305424063,0.996891768657601,0.0861945338435743
"Bifactor",108.67887915004,49,0.987601255948354,0.0194574874268882,0.99332375320296,0.0808441123763056
"Bifactor",146.550664401314,49,0.979733102611745,0.0248766299187558,0.989087055252478,0.0965333053716432
"Bifactor",190.962190410726,49,0.970506268063641,0.0300097774938314,0.984118759726576,0.100401779194157
"Bifactor",212.040629510859,49,0.966127060961683,0.0321606154605302,0.981760725133214,0.102162114480689
"Bifactor",133.854564157136,49,0.984720811073726,0.0215997170226322,0.991772744424314,0.0921110180176353
"Bifactor",146.352947185061,49,0.997402320328611,0.00890616442722029,0.998601249407714,0.0842391184974721
"Bifactor",138.893411115877,49,0.981323955606589,0.0238803319713111,0.989943668403548,0.0876597500681075
"Bifactor",182.473988564016,49,0.988366272970341,0.0188476559624202,0.993735685445568,0.0929405744521566
"Bifactor",146.494079926884,49,0.979744858469525,0.0248694140006364,0.989093385329744,0.0776261208175707
"Bifactor",187.40839840758,49,0.971244595560527,0.0296317738963351,0.984516320686438,0.0962455471622476
"Bifactor",141.16087737423,49,0.980852872131439,0.024179634392257,0.989690008070775,0.0917442817263273
"Bifactor",154.14864591596,49,0.978154563781075,0.0258272562612943,0.988237072805194,0.0949697033714025
"Bifactor",143.541576569088,49,0.980358263646806,0.0244899472501222,0.989423680425203,0.0908995036948415
"Bifactor",176.420673831744,49,0.995269595108311,0.0120184114661614,0.997452858904475,0.0853139256981579
"Bifactor",136.329380330846,49,0.981856652632688,0.0235372987002685,0.990230505263755,0.0817476391615189
"Bifactor",115.404740887659,49,0.999248603202028,0.00478996765778698,0.999595401724169,0.087740491475397
"Bifactor",135.962256721908,49,0.981932925373184,0.0234877724198873,0.990271575200945,0.0927528543018076
"Bifactor",161.834351910276,49,0.976557799518124,0.0267545160064459,0.987377276663605,0.0878530131436871
"Bifactor",198.744080152174,49,0.96888952089083,0.0308213218597257,0.983248203556601,0.100664222945333
"Bifactor",132.391169087103,49,0.982674846169965,0.0230004567646279,0.990671071014597,0.0870358466633968
"Bifactor",132.126008637327,49,0.982729935283504,0.0229638601598747,0.990700734383425,0.0839329141908275
"Bifactor",165.29102300052,49,0.975839649634462,0.0271612357466953,0.986990580572403,0.0808562036657656
"Bifactor",127.537527501919,49,0.983683227369314,0.0223210716702291,0.991214045506554,0.0913382900069956
"Bifactor",132.434104991365,49,0.982665925907132,0.0230063771656602,0.990666267796148,0.075842234092489
"Bifactor",185.890296190688,49,0.971559992918848,0.0294688210236829,0.984686150033226,0.0930247569939475
"Bifactor",194.068643287249,49,0.984846449736491,0.0215107279621312,0.991840396011957,0.0948539186836911
"Bifactor",121.091391876887,49,0.998536498174945,0.00668489430798173,0.99921196055574,0.0748224770446522
"Bifactor",184.622867287028,49,0.971823310977162,0.029332082001387,0.98482793668001,0.091321957111032
"Bifactor",209.454240383614,49,0.966664403104555,0.0319045063257788,0.982050063210145,0.10139053857957
"Bifactor",201.934680413787,49,0.973296834704156,0.0285548105462603,0.985621372533007,0.0941633630717815
"Bifactor",197.111189914538,49,0.969228766339291,0.0306528150673913,0.983430874182695,0.100317805362427
"Bifactor",132.377775806508,49,0.995591785855483,0.0116019036079368,0.997626346229875,0.094267295182315
"Bifactor",121.815944912057,49,0.984871929957439,0.021492635545237,0.991854116130929,0.0789708241704952
"Bifactor",184.098582378325,49,0.971932235180929,0.029275331767105,0.984886588174346,0.0967272463624567
"Bifactor",181.642449728397,49,0.97244251554338,0.0290079939780537,0.985161354523359,0.091696754558488
"Bifactor",178.588134962469,49,0.97307707282018,0.0286720700678759,0.985503039210866,0.0914231175567689
"Bifactor",205.308534427592,49,0.967525705256911,0.0314896457582161,0.982513841292183,0.0990783514944295
"Bifactor",195.959179138092,49,0.969468105398022,0.0305333733605357,0.983559749060473,0.0965660360349374
"Bifactor",161.07060579744,49,0.976716473620392,0.0266638151148692,0.987462716564827,0.0966999103254068
"Bifactor",114.346156395327,49,0.998967063905577,0.00561609748541292,0.999443803641465,0.0800076485159187
"Bifactor",108.564972309722,49,0.999486228021851,0.00396080186483819,0.999723353550228,0.088388954686887
"Bifactor",148.863040596362,49,0.979252688753411,0.0251697453755364,0.988828370867221,0.0803070535167373
"Bifactor",150.661231757163,49,0.978879100772601,0.0253953447711113,0.988627208108323,0.0752008543821691
"Bifactor",184.910986726884,49,0.971763451957657,0.0293632222490816,0.984795704900277,0.0884623864864196
"Bifactor",126.047745277876,49,0.998583275151345,0.00657719422311658,0.999237148158416,0.0797072708518312
"Bifactor",179.335270811407,49,0.972921849627407,0.0287546051829108,0.985419457491681,0.0892244708968069
"Bifactor",209.82428078698,49,0.966587524377684,0.0319412743085378,0.982008666972599,0.100766564491646
"Bifactor",179.533856449769,49,0.972880591940643,0.028776502855492,0.985397241814192,0.0915411143477865
"Bifactor",155.56733049549,49,0.977859821198068,0.0260009055071737,0.988078365260498,0.0870735876859126
"Bifactor",180.280175921949,49,0.972725538356391,0.0288586495676582,0.985313751422672,0.0867541237586708
"Bifactor",168.150523124656,49,0.996091646878284,0.0109243299511095,0.99789550216523,0.089066346254808
"Bifactor",126.687716519151,49,0.985865679888645,0.0207747292501366,0.992389212247732,0.0932315388964633
"Bifactor",177.34722501795,49,0.994990285461575,0.0123681402380664,0.997302461402387,0.0862987163716191
"Bifactor",109.751276606763,49,0.99933734919787,0.00449821567925564,0.999643188029622,0.0790996606533681
"Bifactor",184.753350647782,49,0.97179620205997,0.0293461888720767,0.984813339570753,0.0956454433842235
"Bifactor",123.456326803254,49,0.984531128060594,0.0217333779755208,0.991670607417243,0.085645509665337
