"","chisq","df","tli.scaled","rmsea.scaled","cfi.scaled","srmr"
"three.factor",361.586616548422,74,0.921051127923844,0.0443903960245283,0.935799818311697,0.140856654016445
"three.factor",362.667470396127,74,0.920122675231483,0.0446506525476749,0.935044812825601,0.137157350244696
"three.factor",367.133085418397,74,0.918705354696014,0.0450450449840201,0.9338922664561,0.139724834914559
"three.factor",365.34383823595,74,0.919383532361442,0.044856763694871,0.934443751590623,0.139664684409873
"three.factor",361.050832205306,74,0.920490981028471,0.0445475939218848,0.935344314242933,0.139668836141938
"three.factor",367.571428331122,74,0.91886989723872,0.0449994357040711,0.934026070282036,0.139437403462461
"three.factor",359.683031081989,74,0.921270765649949,0.044328605425837,0.935978424814245,0.137706294117717
"three.factor",356.993017756088,74,0.922419227148534,0.0440040962090138,0.936912338560347,0.136694139695695
"three.factor",364.764345645709,74,0.919925261462924,0.044705794692602,0.934884278552268,0.138021429515666
"three.factor",364.482544615589,74,0.91951704197267,0.0448196044714396,0.934552319845908,0.137294896165269
"three.factor",361.586616548032,74,0.921051130445064,0.0443903953157282,0.93579982036192,0.140856681133752
"three.factor",365.458846514751,74,0.919761451356785,0.0447514989909045,0.934751070334089,0.139326150146682
"three.factor",348.015940039849,74,0.92318108807047,0.0437874979947022,0.937531873815547,0.140144787752442
"three.factor",366.000056051094,74,0.919714572281785,0.0447645700308138,0.934712948888485,0.139148690309802
"three.factor",352.793824475705,74,0.922545741198462,0.0439682019551267,0.937015218117431,0.13430184351143
"three.factor",350.538116887276,74,0.923624651541601,0.0436608973147311,0.937892573781082,0.138769836178614
"three.factor",364.482544614282,74,0.919517041583289,0.0448196045798595,0.934552319529268,0.137294873016722
"three.factor",361.586616548032,74,0.921051130445064,0.0443903953157282,0.93579982036192,0.140856681133752
"three.factor",348.015940033868,74,0.923181076223983,0.0437875013710062,0.93753186418214,0.140144589714431
"three.factor",361.050832203978,74,0.920490987190016,0.0445475921957787,0.93534431925342,0.139668841895472
"three.factor",364.848365146093,74,0.91900593371709,0.0449616930363053,0.934136693352359,0.139132212184818
"three.factor",352.793824467611,74,0.92254574284237,0.0439682014885308,0.937015219454235,0.134301776958528
"three.factor",366.05759652414,74,0.919246270479993,0.0448949352082605,0.934332132038676,0.139062674861824
"three.factor",365.458846507557,74,0.919761465170771,0.0447514951386626,0.93475108156744,0.139326012038992
"three.factor",365.143328923795,74,0.920218045043386,0.0446239891850319,0.935122366299017,0.139068954867765
"three.factor",364.743350568007,74,0.91993220620121,0.0447038560239182,0.934889925921863,0.138734053355036
"three.factor",367.65900132409,74,0.918077569785878,0.0452186370758231,0.933381760045659,0.139391352803777
"three.factor",362.667470277012,74,0.92012270050864,0.0446506454828312,0.935044833380652,0.137158379212208
"three.factor",360.494051702577,74,0.920942236077988,0.0444209986564589,0.935711268898584,0.139281591840679
"three.factor",367.571428330412,74,0.918869900988248,0.044999434664219,0.934026073331103,0.13943743696206
"three.factor",366.79212684298,74,0.919006927145711,0.0449614172977745,0.934137501195413,0.140514784836155
"three.factor",356.190279331388,74,0.921375337129625,0.0442991560847389,0.936063460962552,0.137566393422946
"three.factor",363.936032266908,74,0.920242901883759,0.0446170371255941,0.935142579553826,0.139732418603007
"three.factor",352.793824475705,74,0.922545741198462,0.0439682019551267,0.937015218117431,0.13430184351143
"three.factor",361.050832205306,74,0.920490981028471,0.0445475939218847,0.935344314242933,0.139668836141938
"three.factor",366.05759652414,74,0.919246270479993,0.0448949352082605,0.934332132038676,0.139062674861824
"three.factor",359.683031080029,74,0.92127077046839,0.0443286040693222,0.935978428732537,0.137706375685996
"three.factor",362.667470277012,74,0.92012270050864,0.0446506454828312,0.935044833380652,0.137158379212208
"three.factor",359.804799783986,74,0.920309722598513,0.0445983430714771,0.935196917277911,0.138279431155699
"three.factor",360.494051704583,74,0.920942240506538,0.0444209974123015,0.935711272499822,0.139281472225925
"three.factor",348.015940039849,74,0.92318108807047,0.0437874979947022,0.937531873815547,0.140144787752442
"three.factor",362.667470277012,74,0.92012270050864,0.0446506454828312,0.935044833380652,0.137158379212208
"three.factor",360.494051702576,74,0.920942238141808,0.0444209980766491,0.935711270576855,0.139281601294087
"three.factor",364.848365147095,74,0.91900594229908,0.0449616906542739,0.93413670033112,0.139132282235997
"three.factor",361.107169197898,74,0.921169688208439,0.0443570521956864,0.935896229971698,0.139962852657241
"three.factor",363.936032266908,74,0.920242901883759,0.0446170371255941,0.935142579553826,0.139732418603007
"three.factor",359.804799783838,74,0.920309727493834,0.0445983417016537,0.935196921258722,0.138279406809364
"three.factor",348.015940033868,74,0.923181076223983,0.0437875013710062,0.93753186418214,0.140144589714431
"three.factor",355.076245030477,74,0.921987582782434,0.044126341533854,0.936561331053847,0.138855330396707
"three.factor",367.133085418596,74,0.918705350705738,0.0450450460895184,0.93389226321126,0.139724793537122
"three.factor",360.530265864259,74,0.921111137516712,0.0443735220913243,0.935848617321283,0.139814863347298
"three.factor",360.53026586428,74,0.921111138124944,0.044373521920265,0.935848617815888,0.139814879603615
"three.factor",364.743350567838,74,0.919932207976057,0.0447038555284476,0.934889927365145,0.138734068999227
"three.factor",365.458846507557,74,0.919761465170771,0.0447514951386626,0.93475108156744,0.139326012038992
"three.factor",359.683031080029,74,0.92127077046839,0.0443286040693222,0.935978428732537,0.137706375685996
