"","chisq","df","tli.scaled","rmsea.scaled","cfi.scaled","srmr"
"two.factor",243.233963569817,76,0.978364477073388,0.0257028693852051,0.981930772061291,0.101431245291814
"two.factor",245.986976858308,76,0.977982073468361,0.0259290210418677,0.981611402017532,0.103528587550514
"two.factor",245.719617047894,76,0.977918129293403,0.0259666451071446,0.981557998091194,0.102980587955288
"two.factor",246.109352330051,76,0.977867211701949,0.0259965655279569,0.98151547350932,0.103280127841224
"two.factor",243.370672542362,76,0.978306414773052,0.0257373351066409,0.981882280469801,0.103704900930941
"two.factor",236.358888290685,76,0.979070978653831,0.0252797265274284,0.982520817337266,0.101559198616781
"two.factor",244.350176859943,76,0.978132506423658,0.0258402918740287,0.981737038331847,0.103089884746316
"two.factor",246.107410958613,76,0.97796785397469,0.0259373923578894,0.981599526396444,0.103190363293868
"two.factor",240.111995067104,76,0.978584023977898,0.0255721266685971,0.982114129915607,0.101113735347481
"two.factor",242.357958272282,76,0.978249466675394,0.0257710946631308,0.981834719421208,0.103897661322712
"two.factor",236.633235907097,76,0.979038691274721,0.0252992186371504,0.982493852053613,0.103865163955398
"two.factor",244.071720655183,76,0.978290273951142,0.0257469080862691,0.981868800222932,0.102724377596848
"two.factor",245.635781876047,76,0.977701357389942,0.0260937876926997,0.981376957820172,0.103569298562601
"two.factor",243.770840679715,76,0.978029901851414,0.0259008436075461,0.981651346601181,0.103831538468314
"two.factor",245.940551335862,76,0.977892856245865,0.0259815004742102,0.981536890930613,0.103251544888441
"two.factor",236.252913641254,76,0.979019912304779,0.0253105487242338,0.982478168518277,0.103115128574818
"two.factor",245.958045975279,76,0.977879486693311,0.0259893555942133,0.981525725150458,0.103021691298016
"two.factor",244.655929886304,76,0.978116348045636,0.0258498370946426,0.981723543422729,0.103359339241175
"two.factor",243.388374413712,76,0.977883284667979,0.0259871243812656,0.981528897085345,0.102523652534435
"two.factor",242.980073363405,76,0.978282200891504,0.0257516948119062,0.98186205788741,0.102423627229158
"two.factor",243.891828325645,76,0.978123171642646,0.0258458066288022,0.981729242251001,0.103219855248712
"two.factor",241.727678706993,76,0.978466623998321,0.0256421226379242,0.982016081581015,0.102686584683552
"two.factor",231.704773145139,76,0.978797964631815,0.0254440762479172,0.982292805626571,0.0970571393375282
"two.factor",244.667968246359,76,0.978135302093911,0.0258386400330405,0.981739373177332,0.10378487161194
"two.factor",246.064629244133,76,0.977857039696453,0.0260025387209336,0.981506978208027,0.102969555807351
"two.factor",240.350642052013,76,0.978495372812945,0.0256249997575247,0.982040091580042,0.103432122163027
"two.factor",245.16898708238,76,0.978066282473784,0.0258793899204733,0.981681730417666,0.103439815644787
"two.factor",243.998168838172,76,0.97815048028768,0.0258296700492628,0.98175204947103,0.101920683807543
"two.factor",243.667592879852,76,0.978199701254101,0.0258005600698791,0.981793157091337,0.103757577267521
"two.factor",245.983575668395,76,0.978022842653847,0.0259050043647333,0.981645451007608,0.103217934538796
"two.factor",245.284507980555,76,0.978076607292583,0.0258732981245135,0.981690353343256,0.102922176251026
"two.factor",243.667592879535,76,0.978199700883146,0.025800560289391,0.981793156781529,0.103757582044723
"two.factor",245.398444821327,76,0.977950608172421,0.0259475417014847,0.981585123308835,0.103436274232791
"two.factor",239.892880804312,76,0.9784768492712,0.0256360337451483,0.982024621369354,0.103007298282787
"two.factor",244.252646867979,76,0.978167975276798,0.0258193270235108,0.981766660670733,0.103690024417569
"two.factor",244.54633350089,76,0.977811808731206,0.0260290825956643,0.981469202896392,0.103439768493974
"two.factor",245.985167348923,76,0.977991462407023,0.0259234920937619,0.981619243328942,0.103126962972239
"two.factor",245.127316795228,76,0.977986055191534,0.0259266764329921,0.981614727412709,0.103383499713505
"two.factor",241.296364213369,76,0.977877615372403,0.0259904548769316,0.981524162289039,0.101806511957076
"two.factor",245.46852967639,76,0.978021966190746,0.0259055209136603,0.981644719016447,0.103542689813125
"two.factor",246.05110911496,76,0.977962752557761,0.0259403950112362,0.981595265872416,0.102987848120485
"two.factor",246.109352329281,76,0.977867211999657,0.0259965653531174,0.981515473757955,0.103280140528099
"two.factor",245.99422502216,76,0.978012529166264,0.0259110820298144,0.981636837545451,0.103396696535826
"two.factor",238.499727981593,76,0.97878100367517,0.0254542514408498,0.98227864043201,0.102128596645349
"two.factor",245.161936054702,76,0.978088749818103,0.0258661320188772,0.981700494353581,0.103501308620832
"two.factor",242.353452291588,76,0.97844961796884,0.0256522460999985,0.982001878743207,0.102394651564019
"two.factor",242.009494697052,76,0.978381743006382,0.0256926114266536,0.981945191961374,0.103191038094843
"two.factor",246.138243672055,76,0.978012025300395,0.025911378917873,0.981636416734396,0.103328053569638
"two.factor",244.119856017979,76,0.978192762724667,0.0258046656031447,0.981787362275546,0.10279414231192
"two.factor",245.789542063244,76,0.977978279054415,0.0259312551577936,0.981608233056435,0.103178330866275
"two.factor",239.233155875417,76,0.978530133807576,0.0256042807112422,0.982069122740393,0.104338338629185
"two.factor",232.832807495968,76,0.979343613704782,0.0251145316961872,0.982748512544653,0.102202109273415
"two.factor",246.034111135235,76,0.977992855294158,0.0259226717514334,0.981620406619297,0.10305891538627
"two.factor",237.696582671827,76,0.97891356059428,0.025374619415513,0.982389347309508,0.101549222054834
"two.factor",234.975278824129,76,0.978794796344021,0.0254459772716495,0.982290159584018,0.102143717140891
"two.factor",237.055507086209,76,0.978904483475936,0.0253800803574196,0.982381766419463,0.102170268010978
"two.factor",239.087866828029,76,0.978778676849152,0.0254556470297365,0.982276697148742,0.100375255994343
"two.factor",230.757692741636,76,0.979502370835547,0.0250178351740642,0.9828811009176,0.103062104290173
"two.factor",246.004327233938,76,0.977954358859838,0.0259453347186807,0.981588255751074,0.103411501805079
"two.factor",244.80155121238,76,0.978150052690252,0.0258299227927236,0.981751692356694,0.103670623126462
"two.factor",245.443816166733,76,0.978006226976227,0.0259147951640953,0.981631574177948,0.103034747162059
"two.factor",245.917748693595,76,0.978000999084142,0.0259178749381409,0.981627208026317,0.102533218406025
"two.factor",245.752145970943,76,0.977977205018508,0.0259318875052757,0.981607336059413,0.103135230216305
